ID,Species,Soil Type,Salt Addition,Greenhouse Group,Diameter Growth (%),Stem Mass Growth (%),Coarse Root Growth (%),Total Biomass Growth (%),Pre-Existing Biomass Growth (%),New Above Ground Biomass (g),Fine Root Mass (g),New Above/Below Ground Biomass Ratio,Week 6 SPAD,Initial Diameter (mm),Final Diameter (mm),Initial Stem Displacement (g),Final Stem Displacement (g),Initial Coarse Root Displacement (g),Final Coarse Root Weight (g),Initial Pre-Existing Biomass (g),Final Pre-Existing Biomass (g),Final Total Biomass (g),End SPAD ,Week 1 Leachate NaCl (mg),Week 2 Leachate NaCl (mg),Week 3 Leachate NaCl (mg),Week 4 Leachate NaCl (mg),Week 5 Leachate NaCl (mg),Week 6 Leachate NaCl (mg),Week 7 Leachate NaCl (mg),Week 8 Leachate NaCl (mg),Fraction of LICOR covered by Leaf 
82,HON,BCOT,Y,1,17.50572082,,48.14814815,74.36333333,11.11111111,3.76,1.9327,1.945464894,37.6,4.37,5.135,,2,5.4,8,9,10,15.6927,29,82.574,47.975,19.5965,16.34295,16.021,12.5532,7.9956,2.92905,0.682900433
83,HON,BCOT,N,7,5.807622505,,-9.090909091,-17.75032938,-20.9486166,0.24,0.2455,0.977596741,,5.51,5.83,,7,5.5,5,15.18,12,12.4855,25.9,90.886,55.3335,43.385,29.51025,28.308,22.4721,22.2464,17.7612,
84,HON,BCOT,N,2,23.54497354,,60,147.42607,36.18677043,3.04,2.6777,1.135302685,24.4,3.78,4.67,,3,2.5,4,5.14,7,12.7177,21.4,124.8,53.092,22.64545,20.2436,10.105,6.02325,0.20735,0.41805,0.681998557
85,MAP,Control,N,2,-7.333333333,0,-57.14285714,-9.316753927,-34.55497382,1.48,0.4482,3.302097278,34.6,4.5,4.17,3.5,3.5,3.5,1.5,7.64,5,6.9282,,57.42,52.1375,20.95225,42.1142,28.14,30.7881,21.2,18.336,1
86,MAP,Control,N,5,10.3476152,0,-66.41791045,-31.2460011,-50.35852179,2.32,1.1451,2.026023928,35,6.185,6.825,4.5,4.5,13.4,4.5,18.13,9,12.4651,35.5,63.4365,41.5425,7.3255,24.15,19.525,24.3018,18.9945,13.16055,1
87,MAP,Control,N,6,4.532304725,-4.761904762,-66.21621622,-20.08556612,-43.82022472,1.88,0.8661,2.17065004,33.2,5.185,5.42,4.2,4,7.4,2.5,11.57,6.5,9.2461,40.1,97.7405,37.912,6.6906,13.3936,17.0145,18.96125,18.62685,16.20395,1
88,MAP,Control,N,4,-4.732142857,-28.57142857,-81.48148148,-47.73564464,-64.78873239,2.02,1.128,1.790780142,35.5,5.6,5.335,6.3,4.5,10.8,2,18.46,6.5,9.648,36.4,127.09,45.81,9.1543,27.27,19.9925,26.7883,19.4565,12.2304,1
89,MAP,Control,N,7,4.669603524,-15.38461538,-81.13207547,-47.75730241,-63.48797251,2.4,1.2621,1.901592584,35.1,5.675,5.94,6.5,5.5,15.9,3,23.28,8.5,12.1621,32.4,69.589,46.5817,30.72325,26.2446,24.457,27.48545,20.6304,17.3705,1
90,MAP,Control,Y,3,-1.682242991,-10,-74.22680412,-44.32801962,-57.08154506,1.24,0.8401,1.47601476,33.3,5.35,5.26,5,4.5,9.7,2.5,16.31,7,9.0801,,108.916,274.8,31.8411,32.021,27.5975,34.0518,28.1688,22.62645,1
91,MAP,Control,Y,6,16.68237512,25,-72.60273973,-28.39328202,-44.01679496,1.3,0.9326,1.393952391,40.3,5.305,6.19,4.8,6,7.3,2,14.29,8,10.2326,36.2,79.17,44.528,19.3375,21.7462,23.4675,28.9828,23.06625,19.8765,1
92,MAP,Control,Y,7,2.698145025,0,-83.55263158,-47.48961039,-65.36796537,2.27,1.8599,1.220495726,40.5,5.93,6.09,5.5,5.5,15.2,2.5,23.1,8,12.1299,37.9,106.674,,,31.4394,24.84225,27.832,22.70965,19.91115,1
93,MAP,Control,Y,2,2.089268756,-33.33333333,-73.95833333,-37.37119289,-65.10152284,2.62,1.7503,1.496886248,35.9,5.265,5.375,4.5,3,9.6,2.5,15.76,5.5,9.8703,33.6,107.456,46.755,18.846,25.0512,11.97375,18.18,17.9616,19.6084,1
94,MAP,Control,N,3,-3.012552301,-8.333333333,-81.61764706,-53.83862069,-63.2183908,1.42,0.6201,2.289953233,,5.975,5.795,6,5.5,13.6,2.5,21.75,8,10.0401,17,47.685,40.8296,14.84625,21.281,20.9235,25.1227,28.2282,25.1711,
95,MAP,Control,Y,4,5.809128631,8.108108108,-85.29411765,-33.36873921,-56.82210708,1.72,0.9959,1.727081032,33.5,4.82,5.1,3.7,4,6.8,1,11.58,5,7.7159,34.3,17.08,49.4505,13.2615,29.496,23.5705,30.9078,30.14375,18.77275,1
96,MAP,Control,Y,5,1.212611156,-16.66666667,-56.25,-29.59582133,-45.96541787,1.47,0.8021,1.832689191,26.9,6.185,6.26,4.8,4,8,3.5,13.88,7.5,9.7721,26.5,90.965,37.0744,,17.3505,22.75725,25.91295,21.6343,16.235,1
97,MAP,Control,Y,1,-6.131078224,6.060606061,-70.58823529,-27.06681514,-44.32071269,1.06,0.4894,2.16591745,26,4.73,4.44,3.3,3.5,5.1,1.5,8.98,5,6.5494,23.2,68.586,49.6504,4.8672,19.2533,18.0565,27.36825,23.8476,19.5322,1
98,MAP,Control,N,1,4.938271605,-31.03448276,-62.26415094,-31.80536913,-55.25727069,1.3,0.7966,1.631935727,33.6,4.86,5.1,2.9,2,5.3,2,8.94,4,6.0966,33.3,51.681,51.02115,7.2427,17.7048,15.0526,22.8258,21.5761,18.4909,1
99,MAP,BCMI,N,6,66.06243706,-5.405405405,-44.44444444,-4.572471324,-37.43482795,2.2,0.9515,2.312138728,39.3,4.965,8.245,3.7,3.5,4.5,2.5,9.59,6,9.1515,37.9,63.498,32.9612,1.4131,9.0552,10.53,19.2244,14.875,7.9305,1
100,MAP,BCMI,Y,6,1.461988304,-6.25,-70.58823529,-35.83879423,-54.12844037,1.7,1.091,1.558203483,32.9,5.13,5.205,4.8,4.5,8.5,2.5,15.26,7,9.791,11.4,77.9025,35.4388,7.43255,19.2672,20.1485,28.61775,23.08775,17.9087,1
101,MAP,BCMI,N,7,14.56200228,14.58333333,-45.65217391,14.08568443,-16.40543365,2.06,0.858,2.400932401,44.4,4.395,5.035,4.8,5.5,4.6,2.5,9.57,8,10.918,40.4,55.5,43.38255,,20.4135,26.5045,23.54715,15.53075,15.0051,1
102,MAP,BCMI,Y,7,2.826267664,-12.28070175,-63.63636364,-15.26183206,-46.5648855,2.73,1.3707,1.991683082,36.6,6.015,6.185,5.7,5,5.5,2,13.1,7,11.1007,35.7,84.56,45.48635,21.5492,16.9224,17.8755,25.71975,15.57635,18.0348,1
103,MAP,BCMI,N,4,-13.46389229,-31.03448276,-88.88888889,-64.13557214,-68.90547264,0.26,0.1235,2.105263158,,4.085,3.535,2.9,2,4.5,0.5,8.04,2.5,2.8835,,88.587,42.172,15.8076,8.1675,19.2855,22.7925,16.30955,9.47305,
104,MAP,BCMI,Y,2,4.993597951,-14.28571429,-53.7037037,-20.32868526,-45.21912351,1.92,0.579,3.316062176,34.8,3.905,4.1,3.5,3,5.4,2.5,10.04,5.5,7.999,35.1,76.8105,,24.3828,12.51085,14.28375,22.7478,14.92365,13.2549,1
105,MAP,BCMI,N,3,18.22079314,-11.76470588,-64.28571429,-26.07218479,-51.87680462,1.92,0.7611,2.522664564,36.4,4.665,5.515,3.4,3,5.6,2,10.39,5,7.6811,32.3,78.546,47.187,29.92915,13.5575,5.372,20.57825,16.2341,16.11315,1
106,MAP,BCMI,Y,3,-0.925925926,-24.24242424,-44.44444444,-16.30505952,-40.47619048,1.3,0.3243,4.008633981,30.4,4.32,4.28,3.3,2.5,2.7,1.5,6.72,4,5.6243,27.2,76.911,44.096,25.104,18.72475,22.32625,28.91895,18.7956,20.6677,1
107,MAP,BCMI,Y,1,7.63956905,-4.761904762,-68.25396825,-17.06828392,-46.0916442,2,1.2303,1.625619768,42.3,5.105,5.495,4.2,4,6.3,2,11.13,6,9.2303,42.2,44.08,,24.16995,13.2549,13.7105,25.7393,14.7042,16.0655,1
108,MAP,BCMI,Y,4,-0.24691358,-23.07692308,-53.94736842,-26.954141,-48.66529774,2.2,0.972,2.263374486,28.5,6.075,6.06,5.2,4,7.6,3.5,14.61,7.5,10.672,29.6,71.8175,37.7145,16.115,9.81125,16.51125,28.3536,18.031,12.3284,1
109,MAP,BCMI,N,5,7.346189164,1.694915254,-70.58823529,-35.38248588,-49.15254237,2.14,0.2973,7.198116381,39.4,5.445,5.845,5.9,6,10.2,3,17.7,9,11.4373,36.5,99.9395,45.018,,14.9736,23.4345,28.6492,19.4102,12.3369,1
110,MAP,BCMI,Y,5,0.07513148,1.5625,-80.46875,-42.58464667,-54.24504321,0.98,1.3136,0.746041413,33.4,6.655,6.66,6.4,6.5,12.8,2.5,19.67,9,11.2936,,126.418,38.4975,4.888,19.757,24.3925,26.8896,14.49285,5.958,1
111,MAP,BCMI,N,2,7.741116751,11.11111111,-64.28571429,-35.53286853,-50.19920319,0.98,0.4925,1.989847716,34.2,3.94,4.245,2.7,3,5.6,2,10.04,5,6.4725,33.7,184.824,50.8725,29.295,38.205,25.23675,26.3712,18.0268,17.47955,1
112,MAP,BCMI,N,1,-6.495098039,66.66666667,-91.22807018,-64.16378433,-69.48118006,0.46,0.0627,7.336523126,,4.08,3.815,1.5,2.5,5.7,0.5,9.83,3,3.5227,,89.822,58.088,38.2272,23.598,24.01,31.3495,19.3752,14.6796,
113,MAP,BCOT,Y,7,-1.366982124,21.62162162,-71.83098592,-26.96150696,-46.76494676,1.62,0.798,2.030075188,35.9,4.755,4.69,3.7,4.5,7.1,2,12.21,6.5,8.918,37.4,100.654,32.799,,17.52445,23.1,28.7708,18.07325,17.1075,1
114,MAP,BCOT,N,1,0.408830744,-11.29032258,-57.44680851,-26.22262118,-43.14781568,1.98,0.8482,2.334355105,37.5,6.115,6.14,6.2,5.5,9.4,4,16.71,9.5,12.3282,,99.1075,42.539,21.96595,9.6273,9.792,15.5379,11.4312,14.38965,1
115,MAP,BCOT,Y,6,6.402048656,-26.82926829,-51.92307692,-29.74614594,-43.47379239,0.94,0.3957,2.375537023,37.4,3.905,4.155,4.1,3,5.2,2.5,9.73,5.5,6.8357,18.4,88.45,34.8,21.0496,19.826,22.5515,21.9804,20.4706,14.4495,1
116,MAP,BCOT,N,2,-4.661016949,-21.875,-48.71794872,-27.45590062,-44.09937888,0.9,0.4398,2.04638472,18.8,3.54,3.375,3.2,2.5,3.9,2,8.05,4.5,5.8398,32.9,134.136,45.594,7.3143,19.07675,17.55675,21.7792,12.29525,10.4038,1
117,MAP,BCOT,N,4,-3.225806452,-28.57142857,-35.18518519,-33.71395881,-42.79176201,0.54,0.6501,0.83064144,32.1,4.65,4.5,5.6,4,5.4,3.5,13.11,7.5,8.6901,,107.91,49.894,33.1335,18.24,21.3435,26.64435,16.4885,7.254,
118,MAP,BCOT,Y,4,2.872531418,15.38461538,-91.66666667,-24.8272957,-57.87700084,2.66,1.263,2.106096595,38.1,5.57,5.73,3.9,4.5,6,0.5,11.87,5,8.923,,103.356,51.619,23.9988,28.025,16.3725,25.6101,17.271,11.7468,1
119,MAP,BCOT,N,6,-0.793650794,-6.976744186,-72.97297297,-39.48139159,-51.45631068,0.86,0.6201,1.386873085,,5.67,5.625,4.3,4,7.4,2,12.36,6,7.4801,22.7,93.936,42.0375,19.2441,33.015,28.8835,34.98495,19.764,11.3832,1
120,MAP,BCOT,Y,5,4.826958106,-4.761904762,-65.68627451,-28.65881093,-49.11622924,2.06,1.7594,1.1708537,35,5.49,5.755,6.3,6,10.2,3.5,18.67,9.5,13.3194,,74.6415,41.451,,3.82525,11.9335,20.5344,13.71825,8.5492,1
